BOOK_ID,Senti_S1,Senti_S2,Senti_S3,Senti_E1,Senti_E2,Senti_E3,S_count,W_count,Flesch
pg12935,0.1581560846560846,0.09038992408557622,0.05258698766511266,0.12005665902724726,0.11723558471007448,0.17434352341759746,5548,66874,85.52
pg12972,0.12342901234567899,0.10257962586275837,0.0557396413110699,0.06330047462577586,0.02224456266624941,0.03795605306799338,4670,67666,78.89
pg12989,0.09761643217893215,0.12020224852503328,0.033053751803751814,0.10712461229702605,0.045215426465426464,0.024751931075460493,2212,33480,71.89
pg12,0.0768018173452956,0.05776907732790083,0.011118032484311558,0.017730829420970262,0.0351892551892552,0.06737502280605726,1927,28108,69.69
pg13057,0.01458333333333333,0.11105442176870745,0.09384502923976609,0.004916225749559081,0.013353686114880142,0.005839875755129987,4243,55760,77.57
pg1314,0.1295045319264069,0.044765611372754234,0.11503719628719629,0.10609385783298823,0.10549135058063623,0.12203543865622517,6860,72738,78.79
pg13162,0.11892145775572742,0.13447190802029507,0.16467299299616373,0.1464368645403128,0.19303966632618322,0.19088896208461428,1949,26896,85.93
pg13178,0.014231344052772626,0.05725040319157967,0.08182784329336054,0.02000173347575945,-0.038073685573685574,-0.018484956171523334,5146,74276,78.38
pg13212,0.01880952380952381,-0.01534336450066787,0.11496612263853644,0.058204577058743746,0.2292003506829088,0.10361482471776584,5957,98969,74.83
pg13238,0.0893121693121693,0.04699081474081474,0.1312689302840818,0.11605965463108316,0.13410969982398555,0.1080441877244203,2868,54867,71.48
pg13257,0.09768519745560561,0.12514044943820227,-0.02456857956857958,-0.06300454240595087,-0.05280158730158727,-0.06791099399795052,8823,105753,78.89
pg13273,0.2209197530864198,0.08500543596434007,0.11195746527777777,0.11584117032392896,0.1842603247666539,0.12924366263918505,4220,56575,80.31
pg13278,0.07175533234126984,0.041437019053298114,0.06906497406497407,0.045586143121354394,0.12331121313998025,0.13124746707193508,1741,30335,70.06
pg13312,0.13407242063492059,0.15927404677404677,0.0976666666666667,0.00582837301587301,0.16805116180116172,0.05712425595238096,5907,82542,75.64
pg1342,0.09908274926132066,0.12842984547098477,0.18051771213535914,0.18752305054253104,0.19085826210826204,0.0864478691019787,5997,122266,64.95
pg13432,0.08244558957861711,0.11209021560963309,0.14855047434834664,0.11620300751879696,0.04909066413696042,0.11546623386901166,2057,46356,68.23
pg13454,0.2327071737786024,0.16920995670995673,0.16994621540076085,0.16149229172188356,0.19401519533098477,0.12404541446208109,8872,171901,69.96
pg13541,0.027657920510861685,0.03144687759049461,0.008944203944203944,0.14861017165704662,0.08369518354274451,0.14697730840587983,2812,73703,60.38
pg13546,0.08084250797213761,-0.038737667371388305,0.030412513842746403,0.08457134412779577,0.09676350662589193,0.025874522536287248,7279,91781,81.33
pg13547,0.0777820910973085,0.08391619730329401,0.1913080039816151,0.13297547736501222,0.057713949013949,0.08943558966286241,14163,146888,80.41
pg13572,0.05505653122130394,0.03968762718762719,0.10690603312031884,0.06494784151034151,0.11571310116086236,0.0855247682302477,3489,65195,60.08
pg13720,0.09082078695715058,0.05868156609120465,-0.007630527287120688,0.07233931020968057,0.13473777958152955,0.013707243460764589,4875,95248,65.76
pg13721,0.05319429819429821,0.11908751696065131,0.15770163690476188,-0.0066421568627450965,0.015663580246913573,0.05799778983323286,7059,100526,72.19
pg13776,0.13807114512471644,0.15884943909137456,0.06451765324047934,0.2058824419308289,0.18258494334883227,0.10826446280991735,3480,50680,77.06
pg13801,0.13580045995670992,0.1226206237128567,0.07077050264550262,0.0961408004511453,0.020360149110149106,0.06924760424760423,5361,77593,77.98
pg13913,0.1273199023199022,0.0721745625266752,0.10739128123338648,0.1217222370475795,0.09086955662298128,0.11035600945239497,4882,79237,72.39
pg1392,0.1088232804232804,0.07785484717302896,0.1326138592992526,0.09864357864357862,0.11859756097560974,0.22240558292282442,449,10097,-1.2
pg13960,0.07988465481886535,0.10299824885762386,-0.01735119047619047,0.09344159990711715,0.08933531746031745,0.0037755731922398503,10375,100951,80.41
pg13985,0.10731528722600148,0.04968541016928112,0.04956600361663654,0.17504309609148314,0.07340116279069764,-0.03597734974139468,10354,175939,77.87
pg1400,-0.01188081505389199,0.011222072247353151,-0.019682539682539683,0.08459295334295334,0.11843768371546139,0.22485095976375047,9824,186334,70.36
pg14051,0.12389240506329113,0.11597819850831897,0.21829607046070457,0.17052398989898992,0.11367081992081993,0.09393602693602691,3885,66519,76.96
pg14079,0.06195399113082039,0.18812068668046922,0.08083168309232139,0.2110271672771673,0.14596652400629673,0.04004876209932386,3437,46525,77.27
pg14145,0.06940784832451498,0.08537659200702676,0.06638471177944857,0.1377940577940578,0.06817590424147801,-0.060143383952907754,9589,119079,81.33
pg141,0.06622333829365078,0.2076131687242798,0.13687602627257797,0.20784539534539534,0.26120567375886533,0.14068576388888887,6877,160132,70.77
pg1422,0.10323082010582012,0.10093896713615022,0.15180976430976426,0.08283668386408112,0.033530561478322674,0.1349049707602339,276,5221,35.04
